"Genotype","Plot","Stand.count","Leaf.count","Date.of.emergence","PlantingDate","DAP","week"
"NC350",759,15,"13",2021-07-01,2021-05-20,42,"6"
"Oh43",666,12,"10",2021-06-28,2021-05-20,39,"6"
"Oh43",1032,14,"10",2021-06-25,2021-05-20,36,"6"
"Oh43",1015,11,"10.5",2021-06-28,2021-05-20,39,"6"
"Oh43",685,14,"11",2021-06-30,2021-05-20,41,"6"
"Oh43",608,10,"12",2021-06-30,2021-05-20,41,"6"
"Oh43",627,5,"10",2021-06-28,2021-05-20,39,"6"
"Oh43",957,10,"11",2021-07-01,2021-05-20,42,"6"
"Oh43",974,16,"11.5",2021-06-30,2021-05-20,41,"6"
"PHB47",514,18,"8",2021-06-24,2021-05-20,35,"5"
"PHB47",890,21,"10",2021-06-28,2021-05-20,39,"6"
"PHB47",572,16,"10",2021-06-30,2021-05-20,41,"6"
"PHB47",547,19,"10",2021-06-28,2021-05-20,39,"6"
"PHB47",867,16,"10",2021-06-28,2021-05-20,39,"6"
"PHB47",925,20,"10",2021-06-28,2021-05-20,39,"6"
"PHB47",832,18,"10",2021-06-28,2021-05-20,39,"6"
"PHB47",489,17,"10",2021-06-28,2021-05-20,39,"6"
"PHHB4",513,15,"8",2021-06-24,2021-05-20,35,"5"
"PHHB4",548,15,"9",2021-06-24,2021-05-20,35,"5"
"PHHB4",1009,14,"8",2021-06-23,2021-05-20,34,"5"
"PHHB4",951,16,"9",2021-06-25,2021-05-20,36,"6"
"PHHB4",980,16,"8",2021-06-24,2021-05-20,35,"5"
"PHHB4",1038,16,"7.5",2021-06-24,2021-05-20,35,"5"
"PHHB4",571,16,"8.5",2021-06-24,2021-05-20,35,"5"
"PHHB4",490,14,"8",2021-06-24,2021-05-20,35,"5"
"PHK46",578,18,"9",2021-06-25,2021-05-20,36,"6"
"PHK46",520,18,"9",2021-06-25,2021-05-20,36,"6"
"PHK46",541,18,"9",2021-06-25,2021-05-20,36,"6"
"PHK46",876,18,"8",2021-06-25,2021-05-20,36,"6"
"PHK46",823,18,"8",2021-06-24,2021-05-20,35,"5"
"PHK46",483,18,"8",2021-06-24,2021-05-20,35,"5"
"PHK46",934,15,"10",2021-06-28,2021-05-20,39,"6"
"PHK46",881,17,"10",2021-06-28,2021-05-20,39,"6"
"PHR58",488,17,"8",2021-06-24,2021-05-20,35,"5"
"PHR58",895,18,"9",2021-06-28,2021-05-20,39,"6"
"PHR58",515,18,"8",2021-06-25,2021-05-20,36,"6"
"PHR58",573,17,"9",2021-06-28,2021-05-20,39,"6"
"PHR58",546,17,"8",2021-06-24,2021-05-20,35,"5"
"PHR58",920,17,"8",2021-06-24,2021-05-20,35,"5"
"PHR58",837,17,"8",2021-06-24,2021-05-20,35,"5"
"PHR58",862,17,"8",2021-06-25,2021-05-20,36,"6"
"PHT60",628,17,"10",2021-06-30,2021-05-20,41,"6"
"PHT60",1045,18,"10",2021-06-25,2021-05-20,36,"6"
"PHT60",607,19,"8.5",2021-06-25,2021-05-20,36,"6"
